EIN,name,mission
550364150,FAMILY COUNSELING CONNECTION,"NURTURING THE MENTAL HEALTH AND PSYCHOLOGICAL WELL BEING OF CHILDREN, ADULTS AND FAMILIES."
260885827,FAMILY SERVICE AND GUIDANCE CENTER,"THE FAMILY SERVICE & GUIDANCE CENTER FOUNDATION IS DEDICATED TO CULTIVATING RELATIONSHIPS AND ENGAGING THE COMMUNITY IN THE LIFE OF THE ORGANIZATION IN ORDER TO SECURE AND INVEST PRIVATE FINANCIAL SUPPORT TO STRENGTHEN FAMILY SERVICE & GUIDANCE CENTER'S PROGRAMS AND OPERATIONS. THE FOUNDATION WILL ACHIEVE THIS MISSION BY DOING THE FOLLOWING: EXPAND FSGC'S DONOR BASE BY EDUCATING THE COMMUNITY ON THE IMPORTANCE OF ACCESS TO QUALITY, AFFORDABLE COMMUNITY MENTAL HEALTH SERVICES AND THE CRUCIAL ROLE GIFTS FROM INDIVIDUALS, BUSINESSES AND FOUNDATIONS PLAY INVEST THE CORPUS RESPONSIBLY TO MAXIMIZE THE VALUE OF SECURED GIFTS MAINTAIN THE HIGHEST STANDARDS OF RESPONSIBLE STEWARDSHIP AND ACCOUNTABILITY FOR ALL DONORS CONDUCT FUNDRAISING ACTIVITIES WITH THE BEST INTERESTS OF THE CHILDREN FSGC SERVES IN MIND AND, PROVIDE PERSONNEL AND OTHER RESOURCES TO SUPPORT AND IMPLEMENT THESE STRATEGIES."
581966791,QUALITY MENTAL HEALTH INC,"Quality Mental Health, Inc. is a non-profit corporation that was formed on September 6, 1992. Quality Mental Health, Inc. is organized to help provide assistance in delivering services for care of mental health, mental retardation, and alcohol and drug abuse cases in the surrounding communities. The new program services comprise of transportation of Life Help's (related organization) poverty level clients to and from their appointments at Life Help in the Mississippi counties of Washington, Bolivar, Issaquena, and Sharkey"
363576073,THE RESURRECTION PROJECT,"THE RESURRECTION PROJECT BUILDS TRUSTING RELATIONSHIPS TO EDUCATE AND PROPEL INDIVIDUALS, IMMIGRANTS, AND FAMILIES TO ACHIEVE THEIR SOCIAL AND ECONOMIC ASPIRATIONS, STABLE HOMES, AND EQUITABLE PARTICIPATION IN THEIR COMMUNITY"
412205791,AMANI FAMILY SERVICES,"AMANI FAMILY SERVICES PARTNERS WITH IMMIGRANT AND REFUGEE FAMILIES AND THE COMMUNITY TO PROMOTE SAFETY, ENCOURAGE PERSONAL GROWTH, AND FOSTER A SPIRIT OF BELONGING."
465613314,NESIVOS INC,"TEENS TODAY ARE CONFRONTED WITH COMPLEX CHALLENGES UNKNOWN IN THE PAST. THE AT-RISK TEEN COMMUNITY CAN INCLUDE HIGH SCHOOL DROP OUTS, AS WELL AS THOSE STILL IN SCHOOL, TEENS DEALING WITH SUBSTANCE ABUSE, CRIMINAL BEHAVIORS, LACK OF SELF-ESTEEM, POOR SCHOOL PERFORMANCE, DISCIPLINE ISSUES IN SCHOOL, AND ABSENTEEISM. NESIVOS WILL BE STAFFED WITH PROFESSIONALS THAT CAN ANALYZE THE TEEN AND ADVISE THE BEST COURSE OF ACTION, INCLUDING MENTORSHIP, MENTAL HEALTH REFERRALS, EDUCATIONAL OR VOCATIONAL TRAINING, SUBSTANCE ABUSE CLINIC REFERRALS, AND/OR ENROLLMENT IN AFTER SCHOOL PROGRAMS, RECREATIONAL PROGRAMS AND/OR SUMMER PROGRAMS.NESIVOS WILL BE TAKING A POPULATION AT GREATEST RISK FOR FUTURE CRIME AND POTENTIAL COST TO GOVERNMENT AND THE PUBLIC, AND THROUGH ITS EFFORTS AND PROGRAMS AND MENTORS AND CARING, GIVING THEM THE TOOLS THEY NEED TO CHANGE THE TRAJECTORY OF THEIR LIFE."
831490408,Olive Branch-Muslim Family Services,"Providing of mental health counseling and case management for individuals and families. Also provided is agency referrals, community outreach, and financial assistance."
472724406,TWIN CITIES STREET SOCCER USA,FREE SOCCER LEAQUE AND COMMUNITY WELFARE ORGANIZATIONTHAT SERVES YOUTH REFUGEES AND UNDER PRIVILEGED BY PROVIDINGYEAR AROUND YOUTH DEVELOPMENT PROGRAMS
352002052,COLLEGE MENTORS FOR KIDS INC,"COLLEGE MENTORS FOR KIDS CONNECTS KIDS TO COLLEGE STUDENTS THROUGH WEEKLY ON CAMPUS ACTIVITIES THAT INSPIRE GROWTH, CONFIDENCE, AND BRIGHTER FUTURES. THE ORGANIZATION ESTABLISHES CHAPTERS AT COLLEGES AND UNIVERSITIES THAT FACILITATE MENTORING RELATIONSHIPS BETWEEN COLLEGE STUDENTS AND KIDS IN 1ST-6TH GRADE. DURING THE 2021-22 SCHOOL YEAR, COLLEGE MENTORS SERVED MORE THAN 1,200 KIDS THROUGH MORE THAN 1,800 COLLEGE STUDENT VOLUNTEERS."
720884051,WOMANS FOUNDATION INC,"The corporation is organized and is operated exclusively for charitable, scientific and educational purposes relating to the promotion of the total well-being of women and their families, including in furtherance of such purposes, the providing of such services to the general public and medical professionals in such areas as pre-natal care, childbirth and parenting; sponsoring public discussion groups, forums, panels, lectures and similar educational programs relating to promoting the total well being of woman and their families. Continuing medical education programs are provided to medical professionals in the areas of disease and mental health conditions affecting woman and their families: and such other activities as may promote the general purposes stated above."
237310850,KALAMAZOO LIVING ENDOWMENT FUNDINC,TO RAISE MONEY TO DONATE TO WESTERN MICHIGAN UNIVERSITY STUDENTS TO FUND SCHOLARSHIPS FOR STUDENTS TO WORK IN THE OCCUPATIONAL THERAPY AND SPEECH THERAPY AREAS.
452661454,LAUREL TREE CHARTER SCHOOL,"LAUREL TREE CHARTER SCHOOL'S MISSION IS TO CREATE A SUSTAINABLE MODEL OF EDUCATION WHICH PROVIDES ALL STUDENTS WITH ACCESSIBLE CURRICULUM, BASED ON COLLEGE PREPARATORY STANDARDS, WHILE DEVELOPING LIFE AND SOCIAL SKILLS IN A MIXED AGE SETTING."
471396734,CONSTITUTIONAL LAW CENTER FOR MUSLIMS IN,"LITIGATE NATIONAL SECURITY, IMMIGRATION AND CIVIL RIGHTS ISSUES THAT ARE IMPORTANT TO THE MUSLIM COMMUNITY."
382719146,MI-JOURNEY,"PEER-RUN MENTAL HEALTH RECOVERY CENTER THAT FOSTERS AND FACILITATES RECOVERY AND REINTEGRATION INTO THE COMMUNITY THROUGH A PROGRAM OF CLASSESS, SUPPORT GROUPS, AND ACTIVITIES."
570907665,WALLACE COMMUNITY COLLEGE - SPARKS CAMPUS FOUNDATION,SCHOLARSHIPS FOR WALLACE COMMUNITY COLLEGE STUDENTS
113812004,MIDWEST AFC HOMES INC,To provide a residential care services to adults with mental illness
910885170,NORTHSHORE YOUTH AND FAMILY SERVICES,"THE AGENCY PROVIDES COUNSELING TO FAMILIES AND CHILDREN IN KING AND SNOHOMISH COUNTIES, INCLUDING PARENTING PROGRAMS FOR MOTHERS WITH INFANT CHILDREN, ANGER MANAGEMENT, SUICIDE PREVENTION, TRUANCY PREVENTION, AND DRUG AND ALCOHOL PREVENTION."
942979073,INSIGHT HOUSING,"IH'S PROGRAMS ARE GROUNDED IN THE CORE COMPONENTS OF FOOD, EMERGENCY SHELTER, TRANSITIONAL HOUSING, PERMANENT HOUSING, AND RAPID RE-HOUSING/ HOMELESSNESS PREVENTION SERVICES. CORE PROGRAMMING IS ENRICHED WITH WRAPAROUND SUPPORTIVE SERVICES, RANGING FROM BENEFITS ENROLLMENT AND ADVOCACY FOR MEDICAL AND MENTAL HEALTH, TO MONEY MANAGEMENT, EMPLOYMENT ASSISTANCE, AND HOUSING CASE MANAGEMENT, THE LATTER OF WHICH IS A COMPREHENSIVE, INTAKE-TO- PLACEMENT SERVICE DELIVERY MODEL THAT SUPPORTS A HOUSEHOLD'S TRANSITION FROM HOMELESSNESS TO PERMANENT HOUSING.IH IS COMMITTED TO PRESERVING A SAFE, SUPPORTIVE AND STABILIZING ENVIRONMENT WHEREIN HOMELESS AND LOW-INCOME INDIVIDUALS AND FAMILIES CAN ACCESS A HOLISTIC RANGE OF SERVICES TO MEET THEIR IMMEDIATE NEEDS AND ACHIEVE THEIR GOALS OF ENDING THEIR CYCLE OF HOMELESSNESS. THE SHORT-TERM GOAL OF IH IS TO RAPIDLY MOVE ITS PARTICIPANTS INTO PERMANENT HOUSING, WHILE SIMULTANEOUSLY ADDRESSING EACH CLIENT'S BARRIERS TO RETAINING THEIR HOUSING."
591947024,THE FLORIDA CENTER FOR EARLY CHILDHOOD,"THE FLORIDA CENTER SUPPORTS THE HEALTHY DEVELOPMENT OF YOUNG CHILDREN, SPECIALIZING IN THOSE WITH DELAYS, DISABILITIES OR MENTAL HEALTH CHALLENGES. OUR MISSION- ""TO HELP BUILD AND FOSTER STRONG FAMILIES AND EXPAND THE POTENTIAL OF YOUNG CHILDREN"". WE ENVISION A TIME WHEN EVERY CHILD WILL BE LOVED, NURTURED AND ENCOURAGED TO REACH THEIR FULL POTENTIAL. CHILDREN FROM BIRTH THROUGH TEN YEARS OLD IN SARASOTA, CHARLOTTE, MANATEE, DESOTO AND HARDEE COUNTIES CAN RECEIVE EARLY EDUCATION AND THERAPEUTIC SERVICES. SERVICES INCLUDE MENTAL HEALTH THERAPY, SPEECH AND OCCUPATIONAL THERAPIES, BEHAVIORAL SUPPORT, INCLUSION-MODEL PRESCHOOL, IN-HOME PARENTING SUPPORT AND FLORIDA'S ONLY FETAL ALCOHOL SPECTRUM DISORDERS DIAGNOSTIC CLINIC (AVAILABLE STATEWIDE)."
810301477,Montana State University Billings,"Montana State University Billings Foundation is a publicly supported, non-profit corporation founded in 1968 to advance the goals of Montana State University Billings by (1) establishing lifelong relationships(Continued on Schedule O)with university students, parents, faculty, alumni, friends and community partners; (2) creating pathways to success and sustaining them through philanthropy, stewardship and community engagement; (3) seeking and nurturing innovative partnerships to support the realization of current and emerging university priorities; and (4) fostering a culture of inclusivity that celebrates diversity on campus and beyond."
350882978,SIGMA NU FRATERNITY - BETA ZETA,PROVIDE HOUSING FOR PURDUE UNIVERSITY COLLEGE STUDENTS.
476033443,DELTA ZETA BUILDING CORPORATION,PROVIDING HOUSING FOR COLLEGE STUDENTS.
311305635,TCN BEHAVIORAL HEALTH SERVICES INC,"TCN BEHAVIORAL HEALTH SERVICES, INC.'S MISSION IS TO PROVIDE ACCESSIBLE AND AFFORDABLE MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES THROUGH CLINICAL EXCELLENCE."
237226508,Tau Kappa Epsilon Fraternity Inc,"The organization's mission is to promote education, community service, and fraternity among Auburn University students."
237179567,MOUNT ST JOSEPH UNIVERSITY,"MOUNT ST. JOSEPH UNIVERSITY IS A CATHOLIC ACADEMIC COMMUNITY GROUNDED IN THE SPIRITUAL VALUES AND VISION OF ITS FOUNDERS, THE SISTERS OF CHARITY. THE UNIVERSITY EDUCATES ITS STUDENTS THROUGH INTERDISCIPLINARY LIBERAL ARTS AND PROFESSIONAL CURRICULA EMPHASIZING VALUES, INTEGRITY AND SOCIAL RESPONSIBILITY. MEMBERS OF THE MOUNT COMMUNITY EMBRACE EXCELLENCE IN ACADEMIC ENDEAVORS, THE INTEGRATION OF LIFE AND LEARNING, RESPECT AND CONCERN FOR ALL PERSONS, DIVERSITY OF CULTURES AND BELIEFS, AND SERVICE TO OTHERS."
386095431,ALPHA CHI OMEGA HOUSE CORPORATION,"TO PROVIDE HOUSING FOR COLLEGE STUDENTS WHO ARE MEMBERS OF ALPHA CHI OMEGA, A 501(C)(7) ENTITY."
942919942,CALIFORNIA ASSOCIATION OF SOCIAL,SUPPORT THE DEVELOPMENT OF MENTAL HEALTH SERVICES.
237169417,ReDiscover,"THE MISSION OF REDISCOVER IS TO DELIVER MENTAL HEALTH AND SUBSTANCE USE DISORDER SERVICES TO HELP INDIVIDUALS AND FAMILIES ACHIEVE HEALTHIER AND MORE PRODUCTIVE LIVES. WE WILL ACCOMPLISH THIS BY: 1. PROVIDING COMPREHENSIVE AND INDIVIDUALIZED SERVICES IN AN EXTENSIVE GEOGRAPHIC AREA OF MULTICULTURAL COMMUNITIES. 2. ESTABLISHING PARTNERSHPS, COLLABORATIONS AND STRATEGIC ALLIANCES TO ADVANCE OUR MISSION. 3. PROVIDING EDUCATION AND SUPPORT TO INDIVIDUALS, FAMILIES AND THE COMMUNITY. 4. RECRUITING AND RETAINING THE HIGHEST QUALITY STAFF. 5. ADVOCATING FOR ACCESS, RESOURCES AND THE HIGHEST STANDARDS OF CARE. 6. ASSURING LONG-TERM FINANCIAL SUSTAINABILITY OF THE ORGANIZATION."
742944931,BORDER REGION MHMR COMMUNITY CENTER,"TO PROVIDE MENTAL HEALTH AND INTELLECTUAL AND DEVELOPMENTAL DISABILITY SERVICES TO PERSONS RESIDING IN WEBB, JIM HOGG, STARR AND ZAPATA COUNTIES."
953736589,Barstow College Foundation,to assist college students attending Barstow community college.
911707209,COMMUNITY MENTAL HEALTH FOUNDATION OF,TO PROVIDE FUNDING OF VARIOUS MENTAL HEALTH PROGRAMS TO BEHAVIORAL HEALTH RESOURCES CLIENTS.
823901590,MIND OC,"MIND OC IS THE NONPROFIT BEHIND THE BE WELL OC COALITION THAT WILL LEAD THE NATION IN OPTIMAL MENTAL HEALTHCARE FOR ALL RESIDENTS OF ORANGE COUNTY, CA."
205842237,THE NEW AMERICA COLLEGE,"PROVIDE SECONDARY EDUCATION OPPORTUNITIES TO F-1 VISA STUDENTS AND IMMIGRANTS, TEACHING ENGLISH LANGUAGE ACQUISTITION PROGRAMS."
954850899,THE RAVEN DRUM FOUNDATION,"RAVEN DRUM FOUNDATION SERVES, EDUCATES, AND EMPOWERS TRAUMA SURVIVORS AND COMMUNITIES IN CRISIS, WITH A FOCUS ON VETERANS AND FIRST RESPONDERS. BY INTEGRATING ADVOCACY, STORYTELLING, MUSIC AND ARTS PROGRAMS AND EVENTS, WE BRING THE TOOLS AND EXPERIENCES OF COMPLEMENTARY AND ALTERNATIVE MEDICINE (CAM) TO SUPPORT AND INSPIRE MENTAL HEALTH, RESILIENCY, AND UNITY."
226047876,Rotary International,"Civic organization which provides scholarship assistance to college students, and other various local community projects for the welfare of students. Supports Rotary International's worldwide humanitarian projects."
362041667,Recovery International,"Recovery International is an international self-help community mental health organization whose mission is to make available a self-help method to reduce suffering and improve mental health through weekly group, telephone, and online meetings."
203553034,JEREMIAH FOUNDATION INC,MENTAL HEALTH/TRAUMA TREATMENT
133523556,PITT STREET HDFC,PROVIDES HOUSING TO FORMERLY HOMELESS PEOPLE WITH MENTAL ILLNESS IN NEW YORK CITY AND THE SURROUNDING AREAS.
571198980,Pipeline to God Communications Inc,Early Childhood Mental Health addressing the needs of children zero to 6 years of age. We offer mental health services to children.
462748155,Chamber Music OC,"The Performance Division is designed to provide residents of the greater Orange County area with world-class chamber music performances presented by rising stars and established veterans in the classical music world.The Education Division is anchored by the Pre-College Program currently in residence at Chapman University. The program provides a unique and comprehensive musical education that features chamber music coaching and performance classes, musicianship, composition, ear training, career development and college preparation, participation in distinguished guest artist master classes, community outreach performances, and the Rising Stars Recital Series.The Community Outreach Division aspires to make the benefits of music widely accessible through collaborations with local schools and community organizations."
471070802,LOOK FOR THE GOOD PROJECT INC,THE ORGANIZATION'S MISSION IS TO GIVE CHILDREN ACCESS TO EMPOWERING MENTAL HEALTH PROGRAMS THAT BUILD CONFIDENCE AND KINDNESS.
462392799,PROJECT HEALTHY COMMUNITY,"PROJECT HEALTHY COMMUNITY (PHC) IS A HEALTH AND WELLNESS NONPROFIT WITH THE MISSION OF PROMOTING THE WELL-BEING OF THE DETROIT COMMUNITY BY PROVIDING SCHOOL(AND COMMUNITY) BASED NUTRITION, FITNESS, AND MENTAL HEALTH EDUCATION AND SERVICES FOR DETROIT KINDERGARTENERS THROUGH SENIORS."
470798343,NEBRASKA APPLESEED CENTER FOR LAW,"NEBRASKA APPLESEED FIGHTS FOR JUSTICE AND OPPORTUNITY FOR ALL NEBRASKANS. WE TAKE A SYSTEMIC APPROACH TO COMPLEX ISSUES - SUCH AS CHILD WELFARE, IMMIGRATION POLICY, AFFORDABLE HEALTHCARE AND POVERTY - AND WE TAKE OUR WORK WHEREVER WE BELIEVE WE CAN DO THE MOST GOOD, WHETHER THAT'S AT THE COURTHOUSE, IN THE STATEHOUSE OR IN THE COMMUNITY."
830995509,BRIGHTER HORIZON FOUNDATION,"THE PURPOSE OF BRIGHTER HORIZON FOUNDATION IS TO OPERATE FOR EDUCATIONAL ADVANCEMENT AND FOR OTHER CHARITABLE PURPOSES BY THE DISTRIBUTION OF FUNDS FOR SUCH PURPOSES AND, PARTICULARY, TO ACT AS A SCHOLARSHIP FUNDING VEHICLE TO HELP FIRST GENERATION COLLEGE-PURSUING HIGH SCHOOL STUDENTS COMPLETE A FOUR-YEAR COLLEGE EDUCATION, USING SELECTION CRITERIA BASED UPON ACADEMIC AND FINANCIAL NEED."
311700990,Christopher Ministries Inc,"Grief counseling,trainning mental health workers, and training Pastoral counselors in the area of grief counseling."
452639435,ELM CITY INTERNATIONALS EDUCATIONAL,"THE ELM CITY INTERNATIONALS SCHOLARSHIP FUND IS A MENTORING PROGRAM THAT USES SOCCER AS THE CATALYST TO PROVIDE LOW INCOME STUDENTS IN NEW HAVEN, MOSTLY IMMIGRANTS AND REFUGEES, WHO THRIVE ON THE SOCCER FIELD BUT REQUIRE EXTRA ACADEMIC ASSISTANCE WITH THE MENTORING, TUTORING AND EXTRA ACADEMIC ENRICHMENT NEEDED TO SUCCEED ACADEMICALLY. IT IS DESIGNED TO GIVE ITS PARTICIPANTS THE CONFIDENCE, ACADEMIC SUPPORT AND PERSONAL SUPPORT NEEDED TO BE SUCCESSFUL STUDENTS AND ULTIMATELY GRADUATE FROM COLLEGE. ECI ASSISTS STUDENTS THROUGHOUT MIDDLE/HIGH SCHOOL TO ENSURE THAT THEY ARE PREPARED FOR COLLEGE AND FOLLOW THROUGH WITH FINANCIAL AID AND ACADEMIC SUPPORT THROUGHOUT COLLEGE."
436071658,SIGMA TAU GAMMA FOUNDATION INC,"USES CHARITABLE DONATIONS FROM ALUMNI AND FRIENDS TO PROVIDE COLLEGE STUDENT MEMBERS OF FRATERNITY CHAPTERS WITH SCHOLARSHIPS, LEADERSHIP AND CITIZENSHIP SEMINARS, EDUCATIONAL CONSULTANT SERVICES AND EDUCATIONAL PUBLICATIONS."
510192418,ROXBURY STONE HOUSE INC,"THE ROXBURY STONE HOUSE PARTNERS WITH ADULT AND CHILD SURVIVORS OF DOMESTIC VIOLENCE AND RELATED TRAUMA - MENTAL ILLNESS, HOUSING INSTABILITY AND SUBSTANCE MISUSE - TO ACHIEVE SAFETY, STABILITY, AND OVERALL WELLBEING, THEREBY CONTRIBUTING TO THE STRENGTH, RESILIENCY, AND HEALTH OF THE COMMUNITY WE SERVE."
825497316,TEXOMA BEHAVORIAL HEALTH,THE TEXOMA BEHAVIORAL LEADERSHIP TEAM (TBHLT) SERVES AS THE COMMUNITY'S HUB FOR MENTAL HEALTH AND WELLNESS.VISION: TO IMPROVE THE BEHAVIORAL HEALTH AND WELL-BEING FOR ALL PEOPLE IN THE TEXOMA COMMUNITY.
270681058,PEORIA CHARTER SCHOOL INITIATIVE CO NFP,"THE MISSION OF THE ORGANIZATION IS TO PROVIDE CHILDREN IN GRADES 5 THROUGH 12, A COLLEGE PREPARATORY EDUCATION FOCUSING ON MATH, SCIENCE, AND TECHNOLOGY."
382063018,THRESHOLDS INC,SOCIAL AND MENTAL HEALTH SERVICES TO PERSONS WITH DEVELOPMENTAL DISABILITIES IN ORDER TO HELP THEM LIVE AS INDEPENDENTLY AS POSSIBLE IN THE COMMUNITY.
042104700,MCPHS UNIVERSITY,"MCPHS UNIVERSITY PREPARES STUDENTS FOR CAREERS IN HEALTH CARE THROUGH TEACHING, SCHOLARSHIP, RESEARCH, PROFESSIONAL SERVICE AND COMMUNITY ENGAGEMENT."
510173831,KOREAN CENTER INCORPORATED,"KCI PROVIDES EDUCATIONAL, CULTURAL AND SOCIAL SERVICES TO THE ELDERLY, CHILDREN, NEW IMMIGRANTS, UNEMPLOYED, AND OTHERS SEEKING SERVICES AND PROGRAMS."
263492860,CHATTANOOGA GIRLS LEADERSHIP ACADEMY,"TO PROVIDE GIRLS AND YOUNG WOMEN WITH A RIGOROUS COLLEGE PREPARATORY EDUCATION FOCUSED ON SCIENCE, TECHNOLOGY, ENGINEERING AND MATH IN A SUPPORTIVE ENVIRONMENT."
342057513,COMMUNITY COUNSELING SOLUTIONS,ADDICTIONS AND MENTAL HEALTH SERVICES
841971832,Young Leadership Addiction Awareness Inc,The mission of Generation S.O.S. is helping teens and young adults make life-saving decisions about mental health and (often resulting) substance misuse issues.
237157222,NORTH CHARLES MENTAL HEALTH RESEARCH,"TO PROVIDE THE HIGHEST QUALITY BEHAVIORAL HEALTH SERVICES WHILE EDUCATING OUR CLIENTS, GOVERNMENT AGENCIES AND THE GENERAL PUBLIC ON THE BEST PRACTICES FOR MANAGING MENTAL HEALTH AND SUBSTANCE ABUSH SERVICES."
833917769,Summit County Clubhouse,To create an inclusive community in which all adults living with a mental health diagnosis achieve their highest potential.
471666166,TOMMY CORRAL MEMORIAL,"OUR MISSION IS TO ENHANCE MENTAL HEALTH OF INDIVIDUALS, THEIR FAMILIES, AND THEIR COMMUNITY THROUGH AWARENESS, PREVENTION, SUPPORT, AND EDUCATION."
202842522,CRISTO REY KANSAS CITY SISTERS OF CHARI,THE ORGANIZATION PROVIDES A CATHOLIC COLLEGE PREPARATORY EDUCATION TO CULTURALLY DIVERSE STUDENTS WITH ECONOMIC NEED.
382232765,DAVID'S HOUSE,"TO PROVIDE QUALITY CARE, FACILITIES, AND SUPPORTIVE SERVICES FOR ADULTS WITH A DEVELOPMENTAL DISABILITY, TRAUMATIC BRAIN INJURY OR MENTAL ILLNESS. BEING ENABLED BY GOD, WE STRIVE TO PROVIDE AN INTENTIONALLY CHRISTIAN ENVIRONMENT AND PROGRAM THAT MINISTERS TO THE WHOLE PERSON."
133280364,Riverside Language Program Inc,"Our mission is to help new immigrants successfully integrate into life in the U.S. by rapidly improving their English language skills, providing wrap-around case management and counseling, and incorporating workforce development skills, digital literacy, and civics into daily instruction. These supports and skills ensure that Riverside students are better positioned to access job training, employment, and higher education. Accomplishments in FY 22 include: Secured a $100,000 expansion grant from the Department of Youth and Community Development (DYCD) Secured Riverside's largest private foundation grant to date Secured a major investment in our Strategic Plan - a major donor gift of $150,000 over three years Diversified funding sources - 25% of our revenue is non-government grants Launched a new campaign, the Refugee Scholarship Fund, which raised $17k Enhanced resources for Digital Literacy Clinic with the donation of twenty new laptops. Held Riverside's 4th Annual International Food"
363678909,THE ROBERT YOUNG CENTER FOR COMMUNITY,"THE MISSION OF THE ROBERT YOUNG CENTER FOR COMMUNITY MENTAL HEALTH IS TO PROVIDE COMPREHENSIVE MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES TO PERSONS LIVING IN THE QUAD CITIES AND SURROUNDING REGION BASED ON NEEDS, NOT MEANS. BY SERVING INDIVIDUALS, FAMILIES, AND ORGANIZATIONS, WE RESPOND TO THE COMMUNITY'S NEED AND SUPPORT THE COMMUNITY AS A REGIONAL LEADER OF BEHAVIORAL HEALTHCARE."
271220095,GREAT LEAP FORWARD,"WE SUPPORT, EMPOWER AND ENABLE INDIVIDUALS IN NEED. GREAT LEAP FORWARD HAS MANY DIVERSE PATHWAYS TO DELIVER ITS COMMUNITY-BASED SERVICES TO THOSE IN NEED AND AT THE CURRENT TIME THE MAIN SEGMENTS INCLUDE: ADVISING LOCAL SMALL BUSINESSES (CONTINUED ON SCHEDULE O)IN ECONOMICALLY CHALLENGED AREAS, EMPOWERING WOMEN THROUGH CONFERENCES AND CONTINUING EDUCATION, HELPING REFUGEES, IMMIGRANTS AND LOW INCOME PEOPLE BOTH AT HOME AND ABROAD, USING ART AS A TOOL FOR HEALING TRAUMA, MENTAL AND EMOTIONAL HEALTH SERVICES AND ASSISTANCE FOR MINORITIES AND OTHER DISENFRANCHISED GROUPS."
860291956,OPEN HEARTS,"OPEN HEARTS PROVIDES COMPREHENSIVE MENTAL HEALTH SERVICES IN COORDINATION WITH MEDICAL PROVIDERS. THE SERVICES ARE MEDICALLY NECESSARY WITH SPECIFIC DIAGNOSIS AND TREATMENT TO REDUCE SYMPTOMS, PREVENT ILLNESS, AND INCREASE QUALITY OF LIFE. OUR INTEGRATED, HOLISTIC MODEL IS BUILT ON THE PREMISE THAT HEALING INVOLVES THE BODY AND MIND, IN THE CONTEXT OF THE ENVIRONMENT AND SOCIAL DETERMINANTS OF HEALTH. WE ACCOMPLISH THIS THROUGH TEAM BASED CARE, SPECIFIC HEALTH GOALS AND LEADING WITH PERSONALIZED CARE THAT PRODUCES RESULTS."
852046622,Asian Mental Health Collective Inc,"AMHC is a national nonprofit with the mission to destigmatize mental health within the Asian community. AMHC offers both online and in-person events for mental health, aspiring to make mental health more accessible, approachable, available to the Asian community."
542075888,SPITZER-MAGIS CENTER,"THE PURPOSE OF THE ORGANIZATION IS TO PROVIDE RELIGIOUS CONFERENCES, RETREATS AND SEMINARS FOR OFFICERS OF COMPANIES, THEIR SPOUSES, AND COLLEGE STUDENTS WITH AN INTEREST IN BUSINESS ADMINISTRATION FOR THE PRIMARY PURPOSE OF WORSHIP."
311647253,ASNUNTUCK COMMUNITY - TECHNICAL,"TO SUPPORT AND ENCOURAGE SPECIAL PROJECTS, PROGRAMS, SPEAKERS OR LEARNING ACTIVITIES THAT ADD QUALITY TO THE EDUCATION OF ASNUNTUCK COMMUNITY COLLEGE STUDENTS. ADDITIONALLY, SCHOLARSHIPS ARE AWARDED TO STUDENTS CONTINUING IN THEIR PROGRAM WHO COMPLETE THE APPLICATION AND MEET THE GUIDELINES INDICATED IN THE APPLICATION."
311337923,FRIENDS OF THE CASTLE INC,THE CASTLE IS A GATHERING PLACE OF TRUST AND FRIENDSHIP WHICH SUPPORTS PEOPLE WITH MENTAL ILLNESS AND DISORDERS TO ACHIEVE THEIR HIGHEST LEVEL OF COMPETENCE AND INDEPENDENCE.
010211536,North Yarmouth Academy,"North Yarmouth Academy is an independent, college preparatory, coeducational day school serving students in toddler through grade twelve. The school offers a structured program that sets clear standards and high expectations in an environment that emphasizes values of mutual respect, trust and community. North Yarmouth Academy is dedicated to fostering integrity, character and intellect in young adults."
815041024,VOW 22 INC,"WE SEEK TO PREVENT VETERAN SUICIDE THROUGH COMMUNITY AWARENESS, CAMARADERIE, INTERACTION AND COMMUNICATION WITH VETERANS."
364860828,ACHIM INC,"To provide Jewish educational and cultural programming and religious services to immigrant communities, synagogues and schools."
872066399,ELLA'S HOUSE,"ELLA'S HOUSE SUPPORTS PREGNANT AND PARENTING STUDENT MOTHERS, AGES 18-24 YEARS-OLD, ATTENDING COLLEGE IN THE GREATER NASHVILLE AREA. THROUGH HOUSING, MENTAL HEALTH ASSISTANCE, AND COMMUNITY COURAGEOUS WOMEN CAN ACHIEVE THEIR ACADEMIC GOALS AND RAISE THEIR BABIES."
611897751,MOUNTAIN DREAMERS,"WE ARE A COMMUNITY-BASED MOVEMENT IN THE ROCKY MOUNTAINS THAT EDUCATES AND EMPOWERS EVERYONE TO STAND UP FOR IMMIGRANTS' RIGHTS. WE BELIEVE THAT IMMIGRANTS' RIGHTS ARE HUMAN RIGHTS. WE STAND UNITED AGAINST INTOLERANCE AND INJUSTICE. WE PROMOTE SAFE COMMUNITIES AND WORK ENVIRONMENTS, AS WELL AS ACCESS TO EDUCATION FOR ALL MEMBERS OF OUR COMMUNITIES. WE SUPPORT EVERYONE'S DREAMS"
861436261,SANDHILLS CENTER FOR HOPE INC,THE ORGANIZATION'S PURPOSE IS TO PROVIDE CLIENT CENTERED TREATMENT SERVICES TO INDIVIDUALS WITH SUBSTANCE USE DISORDERS AND/OR MENTAL HEALTH DIAGNOSIS.
